repoID;author;date;activity
project01;user_0;17.12.2019 14:22;Mixed commit
project01;user_0;28.11.2019 20:41;Mixed commit
project01;user_0;1.11.2019 14:25;Deletion commit
project01;user_0;1.11.2019 14:25;Deletion commit
project01;nameless;5.10.2019 23:46;New branch
project01;nameless;1.11.2019 15:21;New branch
project01;nameless;3.11.2019 14:13;New branch
project01;user_0;3.11.2019 14:13;Deletion commit
project01;user_2;1.12.2019 14:41;Mixed commit
project01;user_2;1.12.2019 14:41;Merge of branch (pull request)
project01;user_0;28.11.2019 17:00;Merge of branch
project01;user_0;3.11.2019 14:11;Mixed commit
project01;user_0;3.11.2019 14:34;Mixed commit
project01;user_1;1.11.2019 13:59;Mixed commit
project01;user_0;2.12.2019 16:41;Mixed commit
project01;user_0;1.11.2019 14:25;Deletion commit
project01;nameless;28.11.2019 17:00;New branch
project01;user_3;5.10.2019 22:10;Mixed commit
project01;user_3;1.11.2019 14:20;Addition commit
project01;user_0;1.11.2019 13:17;Mixed commit
project01;user_0;18.12.2019 20:50;Merge of branch
project01;user_0;6.10.2019 18:13;Mixed commit
project01;nameless;5.10.2019 23:17;New branch
project01;user_1;28.11.2019 21:38;Mixed commit
project01;nameless;1.11.2019 13:49;New branch
project01;user_0;1.12.2019 17:41;Mixed commit
project01;user_1;5.10.2019 23:44;Mixed commit
project01;user_0;1.11.2019 14:27;Deletion commit
project01;user_1;1.11.2019 12:59;Addition commit
project01;nameless;28.11.2019 21:38;New branch
project01;user_0;17.12.2019 13:07;Mixed commit
project01;user_1;1.11.2019 14:47;Merge of branch (pull request)
project01;user_3;5.10.2019 21:21;Mixed commit
project01;user_1;17.12.2019 21:20;Mixed commit
project01;user_3;1.11.2019 14:40;Deletion commit
project01;user_0;3.11.2019 16:18;Mixed commit
project01;user_1;30.10.2019 14:51;Addition commit
project01;user_1;29.11.2019 12:55;Mixed commit
project01;user_0;6.10.2019 18:13;Merge of branch
project01;user_1;18.12.2019 12:46;Mixed commit
project01;user_1;3.11.2019 21:23;Addition commit
project01;user_3;6.10.2019 1:52;Mixed commit
project01;user_1;18.12.2019 13:31;Mixed commit
project01;user_0;4.10.2019 12:56;Mixed commit
project01;nameless;16.12.2019 13:44;New branch
project01;user_0;17.12.2019 10:13;Merge of branch (pull request)
project01;user_3;6.10.2019 2:01;Mixed commit
project01;user_0;29.11.2019 14:15;Mixed commit
project01;nameless;5.10.2019 23:44;New branch
project01;user_0;18.12.2019 13:32;Mixed commit
project01;user_3;30.10.2019 15:13;Mixed commit
project01;nameless;17.12.2019 10:52;New branch
project01;user_0;1.11.2019 14:26;Deletion commit
project01;user_0;29.11.2019 14:16;Merge of branch
project01;user_0;1.12.2019 22:59;Mixed commit
project01;user_0;1.11.2019 14:27;Deletion commit
project01;user_1;1.11.2019 15:08;Mixed commit
project01;user_2;1.11.2019 13:49;Merge of branch
project01;nameless;30.10.2019 14:54;New branch
project01;user_0;2.11.2019 22:31;Addition commit
project01;user_0;13.12.2019 10:39;Merge of branch
project01;user_3;1.11.2019 13:47;Mixed commit
project01;nameless;6.10.2019 2:01;New branch
project01;user_0;16.12.2019 13:44;Mixed commit
project01;user_0;4.10.2019 14:04;Mixed commit
project01;user_0;1.11.2019 14:26;Deletion commit
project01;user_0;4.10.2019 12:39;Addition commit
project01;user_0;3.11.2019 22:28;Mixed commit
project01;user_1;3.11.2019 19:48;Mixed commit
project01;user_1;1.12.2019 15:12;Mixed commit
project01;user_2;30.10.2019 14:54;Merge of branch
