repoID;author;date;activity
project01;user_0;17.12.2019 14:22;Medium commit
project01;user_0;28.11.2019 20:41;Medium commit
project01;user_0;1.11.2019 14:25;Small commit
project01;user_0;1.11.2019 14:25;Small commit
project01;nameless;5.10.2019 23:46;New branch
project01;nameless;1.11.2019 15:21;New branch
project01;nameless;3.11.2019 14:13;New branch
project01;user_0;3.11.2019 14:13;Big commit
project01;user_2;1.12.2019 14:41;Big commit
project01;user_2;1.12.2019 14:41;Merge of branch (pull request)
project01;user_0;28.11.2019 17:00;Merge of branch
project01;user_0;3.11.2019 14:11;Big commit
project01;user_0;3.11.2019 14:34;Small commit
project01;user_1;1.11.2019 13:59;Small commit
project01;user_0;2.12.2019 16:41;Big commit
project01;user_0;1.11.2019 14:25;Small commit
project01;nameless;28.11.2019 17:00;New branch
project01;user_3;5.10.2019 22:10;Big commit
project01;user_3;1.11.2019 14:20;Medium commit
project01;user_0;1.11.2019 13:17;Medium commit
project01;user_0;18.12.2019 20:50;Merge of branch
project01;user_0;6.10.2019 18:13;Big commit
project01;nameless;5.10.2019 23:17;New branch
project01;user_1;28.11.2019 21:38;Medium commit
project01;nameless;1.11.2019 13:49;New branch
project01;user_0;1.12.2019 17:41;Medium commit
project01;user_1;5.10.2019 23:44;Small commit
project01;user_0;1.11.2019 14:27;Small commit
project01;user_1;1.11.2019 12:59;Medium commit
project01;nameless;28.11.2019 21:38;New branch
project01;user_0;17.12.2019 13:07;Medium commit
project01;user_1;1.11.2019 14:47;Merge of branch (pull request)
project01;user_3;5.10.2019 21:21;Big commit
project01;user_1;17.12.2019 21:20;Medium commit
project01;user_3;1.11.2019 14:40;Medium commit
project01;user_0;3.11.2019 16:18;Medium commit
project01;user_1;30.10.2019 14:51;Small commit
project01;user_1;29.11.2019 12:55;Big commit
project01;user_0;6.10.2019 18:13;Merge of branch
project01;user_1;18.12.2019 12:46;Medium commit
project01;user_1;3.11.2019 21:23;Medium commit
project01;user_3;6.10.2019 1:52;Big commit
project01;user_1;18.12.2019 13:31;Medium commit
project01;user_0;4.10.2019 12:56;Small commit
project01;nameless;16.12.2019 13:44;New branch
project01;user_0;17.12.2019 10:13;Merge of branch (pull request)
project01;user_3;6.10.2019 2:01;Big commit
project01;user_0;29.11.2019 14:15;Big commit
project01;nameless;5.10.2019 23:44;New branch
project01;user_0;18.12.2019 13:32;Medium commit
project01;user_3;30.10.2019 15:13;Big commit
project01;nameless;17.12.2019 10:52;New branch
project01;user_0;1.11.2019 14:26;Small commit
project01;user_0;29.11.2019 14:16;Merge of branch
project01;user_0;1.12.2019 22:59;Medium commit
project01;user_0;1.11.2019 14:27;Small commit
project01;user_1;1.11.2019 15:08;Medium commit
project01;user_2;1.11.2019 13:49;Merge of branch
